Element,Wavelength,Intensity
Ca I,4226.100,0.675
Ca I,4260.636,0.694
Ca II,3934.777,0.080
Cr I,4255.534,0.472
Cr I,4276.000,0.500
Cr I,4290.924,0.430
Fe I,4046.955,0.177
Fe I,4144.583,0.334
Fe I,4271.076,0.647
Fe I,4064.848,0.224
Fe I,4045.040,0.602
Fe I,4072.670,0.242
Fe I,4215.539,0.756
H I,6564.610,0.215
H I,4862.683,0.216
H I,4102.892,0.341
H I,4341.684,0.288
He I,4121.973,0.792
He I,4010.390,0.718
He I,4144.928,0.334
He I,5049.146,0.806
He I,5017.077,0.827
He I,4389.162,0.739
He II,4201.015,0.759
He II,4339.891,0.594
He II,4026.739,0.665
He II,5413.030,0.749
He II,4860.677,0.622
Mg I,5168.761,0.422
Mg I,5185.048,0.360
Mg I,5174.125,0.367
Mg II,4482.383,0.798
O II,4416.138,0.406
Si II,4129.218,0.616
Si III,4553.898,0.766
