Element,Wavelength,Intensity
C III,5697.496,1.038
Ca I,4227.918,0.920
Ca I,4260.636,0.992
Ca II,3934.777,0.103
Cr I,4255.534,0.968
Cr I,4276.000,1.022
Cr I,4290.924,0.992
Fe I,4045.040,0.917
Fe I,4046.955,0.921
Fe I,4064.848,0.936
Fe I,4072.670,0.877
Fe I,4144.583,0.894
Fe I,4172.077,0.992
Fe I,4250.780,0.986
Fe I,4271.076,0.972
Fe I,4326.978,0.986
Fe I,4383.990,0.972
Fe I,5250.835,0.969
Fe I,5259.046,0.967
H I,3971.195,0.577
H I,4102.892,0.661
H I,4341.684,0.674
H I,4862.683,0.627
H I,6564.610,0.741
He I,4010.390,0.881
He I,4025.117,0.863
He I,4027.322,0.775
He I,4121.973,0.883
He I,4144.928,0.894
He I,4170.147,0.931
He I,4389.162,0.904
He I,4472.729,0.867
He I,4714.458,0.847
He I,4923.305,0.906
He I,5017.077,0.841
He I,5049.146,0.929
He I,5877.227,0.780
He II,4026.739,0.775
He II,4101.198,0.765
He II,4201.015,0.852
He II,4339.891,0.782
He II,4542.864,0.849
He II,4687.020,0.840
He II,4860.677,0.717
He II,5413.030,0.842
He II,5753.673,0.966
Mg I,5168.761,0.966
Mg I,5174.125,0.983
Mg I,5185.048,0.968
Mg II,4482.383,0.912
N II,3995.373,0.908
N III,4635.420,0.981
N III,4641.940,0.973
O II,4416.138,0.997
Si II,4129.218,0.983
Si III,4553.898,0.936
Si IV,4090.016,0.905
Si IV,4117.265,0.924
Si IV,4486.960,0.985
Si IV,4505.340,0.984
