0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Element,,,Ca I,Ca II,Cr I,Cr I,Cr I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,H I,H I,H I,H I,H I,He I,He I,He I,He I,He I,He I,He I,He II,He II,Mg I,Mg I,Mg I,Mg II,N II,N III,O II,Si II,Si III,Si IV
H I,4102.892,0.254,1.34,2.89,0.44,0.39,0.48,0.37,1.31,1.06,0.82,0.52,0.38,0.41,0.38,0.65,1.37,,0.78,1.12,1.04,0.34,0.38,0.30,0.52,0.34,0.34,0.32,0.35,0.44,0.58,0.76,0.80,0.39,0.35,0.30,0.59,0.38,0.36,0.31
H I,4341.684,0.326,1.72,3.70,0.56,0.50,0.62,0.47,1.68,1.36,1.05,0.66,0.48,0.53,0.49,0.83,1.76,1.28,,1.44,1.34,0.44,0.49,0.39,0.66,0.43,0.44,0.42,0.45,0.56,0.75,0.98,1.03,0.50,0.45,0.39,0.75,0.49,0.46,0.39
H I,4862.683,0.227,1.20,2.58,0.39,0.35,0.43,0.33,1.17,0.95,0.73,0.46,0.34,0.37,0.34,0.58,1.23,0.89,0.70,,0.93,0.31,0.34,0.27,0.46,0.30,0.30,0.29,0.32,0.39,0.52,0.68,0.72,0.35,0.32,0.27,0.52,0.34,0.32,0.27
H I,6564.61,0.244,1.29,2.77,0.42,0.38,0.46,0.35,1.26,1.02,0.79,0.50,0.36,0.40,0.37,0.62,1.32,0.96,0.75,1.07,,0.33,0.37,0.29,0.50,0.32,0.33,0.31,0.34,0.42,0.56,0.73,0.77,0.38,0.34,0.29,0.56,0.37,0.34,0.29
He I,4010.39,0.741,3.92,8.42,1.28,1.14,1.40,1.07,3.82,3.10,2.39,1.51,1.10,1.21,1.11,1.90,4.01,2.92,2.27,3.26,3.04,,1.12,0.88,1.51,0.98,0.99,0.95,1.03,1.28,1.70,2.22,2.34,1.15,1.03,0.88,1.71,1.12,1.04,0.89
He I,4025.117,0.661,3.50,7.51,1.15,1.02,1.25,0.95,3.41,2.77,2.13,1.34,0.98,1.08,0.99,1.69,3.57,2.60,2.03,2.91,2.71,0.89,,0.79,1.34,0.88,0.88,0.84,0.92,1.14,1.52,1.98,2.09,1.02,0.92,0.79,1.53,1.00,0.93,0.79
He I,4121.973,0.841,4.45,9.56,1.46,1.30,1.59,1.21,4.34,3.52,2.71,1.71,1.24,1.37,1.26,2.15,4.55,3.31,2.58,3.70,3.45,1.13,1.27,,1.71,1.11,1.13,1.07,1.17,1.46,1.93,2.52,2.65,1.30,1.17,1.00,1.94,1.27,1.18,1.01
He I,4144.928,0.492,2.60,5.59,0.85,0.76,0.93,0.71,2.54,2.06,1.59,1.00,0.73,0.80,0.74,1.26,2.66,1.94,1.51,2.17,2.02,0.66,0.74,0.59,,0.65,0.66,0.63,0.69,0.85,1.13,1.47,1.55,0.76,0.68,0.59,1.14,0.74,0.69,0.59
He I,4389.162,0.755,3.99,8.58,1.31,1.17,1.43,1.09,3.89,3.16,2.44,1.53,1.12,1.23,1.13,1.93,4.08,2.97,2.32,3.33,3.09,1.02,1.14,0.90,1.53,,1.01,0.96,1.05,1.31,1.74,2.26,2.38,1.17,1.05,0.90,1.74,1.14,1.06,0.91
He I,4472.729,0.747,3.95,8.49,1.29,1.15,1.41,1.07,3.85,3.13,2.41,1.52,1.11,1.22,1.12,1.91,4.04,2.94,2.29,3.29,3.06,1.01,1.13,0.89,1.52,0.99,,0.95,1.04,1.29,1.72,2.24,2.36,1.16,1.04,0.89,1.73,1.13,1.05,0.90
He I,5049.146,0.784,4.15,8.91,1.36,1.21,1.48,1.13,4.04,3.28,2.53,1.59,1.16,1.28,1.18,2.01,4.24,3.09,2.40,3.45,3.21,1.06,1.19,0.93,1.59,1.04,1.05,,1.09,1.36,1.80,2.35,2.47,1.21,1.09,0.93,1.81,1.19,1.10,0.94
He II,4201.015,0.718,3.80,8.16,1.24,1.11,1.36,1.03,3.70,3.00,2.32,1.46,1.06,1.17,1.08,1.84,3.88,2.83,2.20,3.16,2.94,0.97,1.09,0.85,1.46,0.95,0.96,0.92,,1.24,1.65,2.15,2.26,1.11,1.00,0.85,1.66,1.09,1.01,0.86
