Element,Wavelength,Intensity
C III,5697.496,0.962
Ca I,4227.918,0.995
Ca I,4260.636,0.924
Ca II,3934.777,0.235
Cr I,4255.534,0.914
Cr I,4276.000,0.918
Cr I,4290.924,0.887
Fe I,4045.040,0.965
Fe I,4046.955,0.965
Fe I,4064.848,0.976
Fe I,4072.670,0.916
Fe I,4144.583,0.889
Fe I,4172.077,0.990
Fe I,4250.780,0.924
Fe I,4271.076,0.908
Fe I,4326.978,0.927
Fe I,4383.990,0.930
Fe I,5250.835,0.964
Fe I,5259.046,0.930
H I,3971.195,0.537
H I,4102.892,0.633
H I,4341.684,0.615
H I,4862.683,0.616
H I,6564.610,0.633
He I,4010.390,0.919
He I,4025.117,0.925
He I,4027.322,0.825
He I,4121.973,0.883
He I,4144.928,0.889
He I,4170.147,0.915
He I,4389.162,0.896
He I,4472.729,0.858
He I,4714.458,0.834
He I,4923.305,0.920
He I,5017.077,0.808
He I,5049.146,0.927
He I,5877.227,0.567
He II,4026.739,0.825
He II,4101.198,0.727
He II,4201.015,0.849
He II,4339.891,0.729
He II,4542.864,0.781
He II,4687.020,0.774
He II,4860.677,0.822
He II,5413.030,0.713
He II,5753.673,0.966
Mg I,5168.761,0.983
Mg I,5174.125,1.010
Mg I,5185.048,0.985
Mg II,4482.383,0.887
N II,3995.373,0.967
N III,4635.420,0.932
N III,4641.940,0.921
O II,4416.138,0.978
Si II,4129.218,0.924
Si III,4553.898,0.901
Si IV,4090.016,0.920
Si IV,4117.265,0.837
Si IV,4486.960,1.002
Si IV,4505.340,0.922
