Element,Wavelength,Intensity
C III,5697.496,0.989
Ca I,4227.918,0.925
Ca I,4260.636,0.917
Ca II,3934.777,0.876
Cr I,4255.534,0.916
Cr I,4276.000,0.914
Cr I,4290.924,0.910
Fe I,4045.040,0.900
Fe I,4046.955,0.897
Fe I,4064.848,0.893
Fe I,4072.670,0.899
Fe I,4144.583,0.907
Fe I,4172.077,0.917
Fe I,4250.780,0.930
Fe I,4271.076,0.909
Fe I,4326.978,0.920
Fe I,4383.990,0.925
Fe I,5250.835,0.981
Fe I,5259.046,0.986
H I,3971.195,0.378
H I,4102.892,0.639
H I,4341.684,0.659
H I,4862.683,0.611
H I,6564.610,0.768
He I,4010.390,0.850
He I,4025.117,0.844
He I,4027.322,0.747
He I,4121.973,0.907
He I,4144.928,0.907
He I,4170.147,0.923
He I,4389.162,0.876
He I,4472.729,0.826
He I,4714.458,0.841
He I,4923.305,0.896
He I,5017.077,0.921
He I,5049.146,0.911
He I,5877.227,0.625
He II,4026.739,0.747
He II,4101.198,0.734
He II,4201.015,0.828
He II,4339.891,0.751
He II,4542.864,0.794
He II,4687.020,0.892
He II,4860.677,0.754
He II,5413.030,0.803
He II,5753.673,0.975
Mg I,5168.761,0.992
Mg I,5174.125,0.985
Mg I,5185.048,0.995
Mg II,4482.383,0.897
N II,3995.373,0.892
N III,4635.420,1.001
N III,4641.940,1.013
O II,4416.138,0.910
Si II,4129.218,0.924
Si III,4553.898,0.926
Si IV,4090.016,0.879
Si IV,4117.265,0.877
Si IV,4486.960,0.962
Si IV,4505.340,0.963
