Element,Wavelength,Intensity
C III,5697.496,0.955
Ca I,4227.918,0.833
Ca I,4260.636,0.994
Ca II,3934.777,0.009
Cr I,4255.534,0.910
Cr I,4276.000,0.907
Cr I,4290.924,0.914
Fe I,4045.040,1.011
Fe I,4046.955,0.913
Fe I,4064.848,0.910
Fe I,4072.670,0.864
Fe I,4144.583,0.914
Fe I,4172.077,0.893
Fe I,4250.780,0.909
Fe I,4271.076,0.909
Fe I,4326.978,0.982
Fe I,4383.990,0.978
Fe I,5250.835,0.948
Fe I,5259.046,0.954
H I,3971.195,0.655
H I,4102.892,0.684
H I,4341.684,0.649
H I,4862.683,0.658
H I,6564.610,0.592
He I,4010.390,0.858
He I,4025.117,0.882
He I,4027.322,0.688
He I,4121.973,0.862
He I,4144.928,0.881
He I,4170.147,0.873
He I,4389.162,0.887
He I,4472.729,0.817
He I,4714.458,0.912
He I,4923.305,0.915
He I,5017.077,0.861
He I,5049.146,0.904
He I,5877.227,0.823
He II,4026.739,0.807
He II,4101.198,0.760
He II,4201.015,0.844
He II,4339.891,0.740
He II,4542.864,0.787
He II,4687.020,0.816
He II,4860.677,0.749
He II,5413.030,0.744
He II,5753.673,0.949
Mg I,5168.761,0.949
Mg I,5174.125,0.952
Mg I,5185.048,0.973
Mg II,4482.383,0.895
N II,3995.373,0.910
N III,4635.420,0.959
N III,4641.940,0.956
O II,4416.138,0.908
Si II,4129.218,0.897
Si III,4553.898,0.908
Si IV,4090.016,0.814
Si IV,4117.265,0.871
Si IV,4486.960,0.981
Si IV,4505.340,0.908
