Element,Wavelength,Intensity
C III,5697.496,0.988
Ca I,4227.918,0.938
Ca I,4260.636,0.997
Ca II,3934.777,0.122
Cr I,4255.534,0.986
Cr I,4276.000,0.992
Cr I,4290.924,0.995
Fe I,4045.040,0.938
Fe I,4046.955,0.936
Fe I,4064.848,0.939
Fe I,4072.670,0.897
Fe I,4144.583,0.923
Fe I,4172.077,0.985
Fe I,4250.780,0.992
Fe I,4271.076,0.994
Fe I,4326.978,0.990
Fe I,4383.990,0.980
Fe I,5250.835,0.979
Fe I,5259.046,0.975
H I,3971.195,0.655
H I,4102.892,0.676
H I,4341.684,0.682
H I,4862.683,0.655
H I,6564.610,0.697
He I,4010.390,0.909
He I,4025.117,0.899
He I,4027.322,0.818
He I,4121.973,0.924
He I,4144.928,0.923
He I,4170.147,1.008
He I,4389.162,0.915
He I,4472.729,0.837
He I,4714.458,0.933
He I,4923.305,0.894
He I,5017.077,0.933
He I,5049.146,0.971
He I,5877.227,0.821
He II,4026.739,0.818
He II,4101.198,0.716
He II,4201.015,0.890
He II,4339.891,0.736
He II,4542.864,0.848
He II,4687.020,0.820
He II,4860.677,0.738
He II,5413.030,0.847
He II,5753.673,0.973
Mg I,5168.761,0.979
Mg I,5174.125,0.982
Mg I,5185.048,0.982
Mg II,4482.383,0.940
N II,3995.373,0.935
N III,4635.420,0.984
N III,4641.940,0.989
O II,4416.138,0.985
Si II,4129.218,0.993
Si III,4553.898,0.979
Si IV,4090.016,0.895
Si IV,4117.265,0.926
Si IV,4486.960,0.995
Si IV,4505.340,0.997
