0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Element,,,Ca I,Ca I,Ca II,Cr I,Cr I,Cr I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,H I,H I,H I,H I,H I,He I,He I,He I,He I,He I,He I,He II,He II,He II,He II,He II,Mg I,Mg I,Mg I,Mg II,O II,Si II,Si III
,Wavelength,,'4226,1','4260,636','3934,777','4255,534',4276,'4290,924','4045,04','4046,955','4064,848','4072,67','4144,583','4215,539','4260,55','4271,076','4326,978','3971,195','4102,892','4341,684','4862,683','6564,61','4010,39','4121,973','4144,928','4389,162','5017,077','5049,146','4026,739','4201,015','4339,891','4860,677','5413,03','5168,761','5174,125','5185,048','4482,383','4416,138','4129,218','4553,898'
,,Intensity,'0,675','0,694','0,08','0,472','0,5','0,43','0,602','0,177','0,224','0,242','0,334','0,756','0,694','0,647','0,255','0,136','0,341','0,288','0,216','0,215','0,718','0,792','0,334','0,739','0,827','0,806','0,665','0,759','0,594','0,622','0,749','0,422','0,367','0,36','0,798','0,406','0,616','0,766'
Fe I,'4271,076','0,647','0,96','0,93','8,09','1,37','1,29','1,5','1,07','3,66','2,89','2,67','1,94','0,86','0,93',,'2,54','4,76','1,9','2,25',3,'3,01','0,9','0,82','1,94','0,88','0,78','0,8','0,97','0,85','1,09','1,04','0,86','1,53','1,76','1,8','0,81','1,59','1,05','0,84'
Fe I,'4326,978','0,255','0,38','0,37','3,19','0,54','0,51','0,59','0,42','1,44','1,14','1,05','0,76','0,34','0,37','0,39',,'1,88','0,75','0,89','1,18','1,19','0,36','0,32','0,76','0,35','0,31','0,32','0,38','0,34','0,43','0,41','0,34','0,6','0,69','0,71','0,32','0,63','0,41','0,33'
H I,'3971,195','0,136','0,2','0,2','1,7','0,29','0,27','0,32','0,23','0,77','0,61','0,56','0,41','0,18','0,2','0,21','0,53',,'0,4','0,47','0,63','0,63','0,19','0,17','0,41','0,18','0,16','0,17','0,2','0,18','0,23','0,22','0,18','0,32','0,37','0,38','0,17','0,33','0,22','0,18'
H I,'4102,892','0,341','0,51','0,49','4,26','0,72','0,68','0,79','0,57','1,93','1,52','1,41','1,02','0,45','0,49','0,53','1,34','2,51',,'1,18','1,58','1,59','0,47','0,43','1,02','0,46','0,41','0,42','0,51','0,45','0,57','0,55','0,46','0,81','0,93','0,95','0,43','0,84','0,55','0,45'
H I,'4341,684','0,288','0,43','0,41','3,6','0,61','0,58','0,67','0,48','1,63','1,29','1,19','0,86','0,38','0,41','0,45','1,13','2,12','0,84',,'1,33','1,34','0,4','0,36','0,86','0,39','0,35','0,36','0,43','0,38','0,48','0,46','0,38','0,68','0,78','0,8','0,36','0,71','0,47','0,38'
H I,'4862,683','0,216','0,32','0,31','2,7','0,46','0,43','0,5','0,36','1,22','0,96','0,89','0,65','0,29','0,31','0,33','0,85','1,59','0,63','0,75',,1,'0,3','0,27','0,65','0,29','0,26','0,27','0,32','0,28','0,36','0,35','0,29','0,51','0,59','0,6','0,27','0,53','0,35','0,28'
H I,'6564,61','0,215','0,32','0,31','2,69','0,46','0,43','0,5','0,36','1,21','0,96','0,89','0,64','0,28','0,31','0,33','0,84','1,58','0,63','0,75',1,,'0,3','0,27','0,64','0,29','0,26','0,27','0,32','0,28','0,36','0,35','0,29','0,51','0,59','0,6','0,27','0,53','0,35','0,28'
He I,'4010,39','0,718','1,06','1,03','8,97','1,52','1,44','1,67','1,19','4,06','3,21','2,97','2,15','0,95','1,03','1,11','2,82','5,28','2,11','2,49','3,32','3,34',,'0,91','2,15','0,97','0,87','0,89','1,08','0,95','1,21','1,15','0,96','1,7','1,96','1,99','0,9','1,77','1,17','0,94'
He I,'4121,973','0,792','1,17','1,14','9,9','1,68','1,58','1,84','1,32','4,47','3,54','3,27','2,37','1,05','1,14','1,22','3,11','5,82','2,32','2,75','3,67','3,68','1,1',,'2,37','1,07','0,96','0,98','1,19','1,04','1,33','1,27','1,06','1,88','2,16','2,2','0,99','1,95','1,29','1,03'
He I,'4144,928','0,334','0,49','0,48','4,17','0,71','0,67','0,78','0,55','1,89','1,49','1,38',1,'0,44','0,48','0,52','1,31','2,46','0,98','1,16','1,55','1,55','0,47','0,42',,'0,45','0,4','0,41','0,5','0,44','0,56','0,54','0,45','0,79','0,91','0,93','0,42','0,82','0,54','0,44'
