0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Element,,,C III,Ca I,Ca I,Ca II,Cr I,Cr I,Cr I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,H I,H I,H I,H I,H I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He II,He II,He II,He II,He II,He II,He II,He II,He II,Mg I,Mg I,Mg I,Mg II,N II,N III,N III,O II,Si II,Si III,Si IV,Si IV,Si IV,Si IV
,Wavelength,,5697.496,4227.918,4260.636,3934.777,4255.534,4276.0,4290.924,4045.04,4046.955,4064.848,4072.67,4144.583,4172.077,4250.78,4271.076,4326.978,4383.99,5250.835,5259.046,3971.195,4102.892,4341.684,4862.683,6564.61,4010.39,4025.117,4027.322,4121.973,4144.928,4170.147,4389.162,4472.729,4714.458,4923.305,5017.077,5049.146,5877.227,4026.739,4101.198,4201.015,4339.891,4542.864,4687.02,4860.677,5413.03,5753.673,5168.761,5174.125,5185.048,4482.383,3995.373,4635.42,4641.94,4416.138,4129.218,4553.898,4090.016,4117.265,4486.96,4505.34
H I,3971.195,0.333,0.33,0.36,0.34,0.37,0.35,0.35,0.34,0.36,0.35,0.36,0.36,0.35,0.33,0.34,0.35,0.34,0.33,0.34,0.34,,0.49,0.50,0.53,0.50,0.36,0.37,0.41,0.35,0.35,0.36,0.36,0.38,0.36,0.37,0.37,0.35,0.38,0.41,0.44,0.39,0.44,0.40,0.40,0.41,0.40,0.34,0.34,0.34,0.34,0.36,0.36,0.33,0.34,0.33,0.33,0.34,0.37,0.35,0.34,0.34
H I,4102.892,0.673,0.68,0.72,0.69,0.75,0.72,0.72,0.68,0.72,0.72,0.72,0.72,0.71,0.67,0.68,0.72,0.69,0.67,0.68,0.68,2.02,,1.01,1.06,1.01,0.73,0.75,0.82,0.71,0.71,0.72,0.73,0.76,0.74,0.75,0.74,0.72,0.77,0.82,0.88,0.79,0.89,0.80,0.81,0.83,0.80,0.69,0.69,0.69,0.68,0.72,0.73,0.68,0.68,0.68,0.67,0.68,0.75,0.72,0.69,0.68
H I,4341.684,0.665,0.67,0.71,0.68,0.74,0.71,0.71,0.67,0.72,0.71,0.71,0.71,0.71,0.66,0.67,0.71,0.68,0.66,0.67,0.67,2.00,0.99,,1.05,1.00,0.72,0.75,0.81,0.71,0.71,0.71,0.72,0.75,0.73,0.74,0.73,0.71,0.76,0.81,0.87,0.78,0.88,0.79,0.80,0.82,0.79,0.68,0.68,0.68,0.67,0.71,0.72,0.67,0.67,0.67,0.66,0.68,0.75,0.71,0.68,0.68
H I,4862.683,0.634,0.64,0.68,0.65,0.70,0.67,0.68,0.64,0.68,0.67,0.68,0.68,0.67,0.63,0.64,0.67,0.65,0.63,0.64,0.64,1.90,0.94,0.95,,0.95,0.69,0.71,0.77,0.67,0.67,0.68,0.69,0.72,0.69,0.70,0.70,0.67,0.73,0.77,0.83,0.75,0.83,0.76,0.76,0.78,0.76,0.65,0.65,0.65,0.64,0.68,0.69,0.64,0.64,0.64,0.63,0.64,0.71,0.67,0.65,0.64
H I,6564.61,0.665,0.67,0.71,0.68,0.74,0.71,0.71,0.67,0.72,0.71,0.71,0.71,0.71,0.66,0.67,0.71,0.68,0.66,0.67,0.67,2.00,0.99,1.00,1.05,,0.72,0.75,0.81,0.71,0.71,0.71,0.72,0.75,0.73,0.74,0.73,0.71,0.76,0.81,0.87,0.78,0.88,0.79,0.80,0.82,0.79,0.68,0.68,0.68,0.67,0.71,0.72,0.67,0.67,0.67,0.66,0.68,0.75,0.71,0.68,0.68
He I,4010.39,0.918,0.92,0.98,0.94,1.02,0.98,0.98,0.93,0.99,0.98,0.98,0.98,0.97,0.91,0.93,0.98,0.94,0.91,0.93,0.92,2.76,1.36,1.38,1.45,1.38,,1.03,1.12,0.97,0.97,0.98,0.99,1.04,1.00,1.02,1.01,0.98,1.05,1.12,1.20,1.08,1.21,1.09,1.10,1.13,1.09,0.94,0.94,0.94,0.93,0.98,1.00,0.92,0.93,0.92,0.91,0.93,1.03,0.98,0.94,0.93
He I,4025.117,0.892,0.90,0.95,0.91,0.99,0.95,0.95,0.90,0.96,0.95,0.95,0.96,0.95,0.89,0.90,0.95,0.92,0.89,0.90,0.90,2.68,1.33,1.34,1.41,1.34,0.97,,1.09,0.95,0.95,0.95,0.96,1.01,0.97,0.99,0.98,0.95,1.02,1.09,1.17,1.05,1.17,1.06,1.07,1.09,1.06,0.92,0.91,0.91,0.90,0.96,0.97,0.90,0.90,0.90,0.89,0.91,1.00,0.95,0.92,0.91
He I,4027.322,0.821,0.83,0.88,0.84,0.91,0.87,0.87,0.83,0.88,0.87,0.88,0.88,0.87,0.82,0.83,0.87,0.84,0.82,0.83,0.83,2.47,1.22,1.23,1.29,1.23,0.89,0.92,,0.87,0.87,0.88,0.89,0.93,0.90,0.91,0.91,0.87,0.94,1.00,1.08,0.97,1.08,0.98,0.98,1.01,0.98,0.84,0.84,0.84,0.83,0.88,0.89,0.82,0.83,0.83,0.82,0.83,0.92,0.87,0.84,0.83
He I,4121.973,0.942,0.95,1.01,0.96,1.04,1.00,1.00,0.95,1.01,1.00,1.00,1.01,1.00,0.94,0.96,1.00,0.97,0.94,0.95,0.95,2.83,1.40,1.42,1.49,1.42,1.03,1.06,1.15,,1.00,1.01,1.02,1.07,1.03,1.04,1.04,1.00,1.08,1.15,1.24,1.11,1.24,1.12,1.13,1.16,1.12,0.97,0.96,0.96,0.95,1.01,1.02,0.95,0.95,0.95,0.94,0.96,1.06,1.00,0.97,0.96
He I,4144.928,0.942,0.95,1.01,0.96,1.04,1.00,1.00,0.95,1.01,1.00,1.00,1.01,1.00,0.94,0.96,1.00,0.97,0.94,0.95,0.95,2.83,1.40,1.42,1.49,1.42,1.03,1.06,1.15,1.00,,1.01,1.02,1.07,1.03,1.04,1.04,1.00,1.08,1.15,1.24,1.11,1.24,1.12,1.13,1.16,1.12,0.97,0.96,0.96,0.95,1.01,1.02,0.95,0.95,0.95,0.94,0.96,1.06,1.00,0.97,0.96
