0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Element,,,Ca I,Ca I,Ca II,Cr I,Cr I,Cr I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,H I,H I,H I,H I,H I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He II,He II,He II,He II,He II,He II,He II,Mg I,Mg I,Mg I,Mg II,O II,Si II,Si III
He I,4472.729,0.783,3.88,2.65,10.17,1.52,1.88,1.76,1.37,3.86,3.16,2.73,2.40,1.00,1.34,3.53,3.99,3.90,2.18,3.01,3.18,3.35,1.13,1.18,0.99,1.05,2.40,1.08,1.09,,1.01,0.96,0.99,0.99,1.27,1.22,1.18,0.95,1.25,1.05,2.39,2.04,2.71,1.11,1.87,1.39,1.03
He I,4923.305,0.775,3.84,2.62,10.06,1.50,1.86,1.75,1.35,3.82,3.12,2.70,2.38,0.99,1.32,3.49,3.95,3.86,2.16,2.98,3.15,3.31,1.12,1.17,0.98,1.04,2.38,1.07,1.08,0.99,,0.95,0.98,0.98,1.25,1.21,1.17,0.94,1.23,1.04,2.37,2.02,2.68,1.09,1.85,1.37,1.02
He I,5017.077,0.817,4.04,2.76,10.61,1.58,1.96,1.84,1.43,4.02,3.29,2.85,2.51,1.05,1.39,3.68,4.17,4.06,2.28,3.14,3.32,3.49,1.18,1.23,1.03,1.10,2.51,1.13,1.13,1.04,1.05,,1.04,1.03,1.32,1.27,1.23,0.99,1.30,1.09,2.50,2.13,2.83,1.15,1.95,1.45,1.07
He I,5049.146,0.789,3.91,2.67,10.25,1.53,1.89,1.78,1.38,3.89,3.18,2.75,2.42,1.01,1.35,3.55,4.03,3.93,2.20,3.03,3.21,3.37,1.14,1.19,1.00,1.06,2.42,1.09,1.10,1.01,1.02,0.97,,1.00,1.28,1.23,1.19,0.96,1.26,1.06,2.41,2.05,2.73,1.11,1.88,1.40,1.04
He II,4026.739,0.79,3.91,2.67,10.26,1.53,1.89,1.78,1.38,3.89,3.19,2.75,2.42,1.01,1.35,3.56,4.03,3.93,2.20,3.04,3.21,3.38,1.14,1.19,1.00,1.06,2.42,1.09,1.10,1.01,1.02,0.97,1.00,,1.28,1.23,1.19,0.96,1.26,1.06,2.42,2.06,2.73,1.12,1.89,1.40,1.04
He II,4101.198,0.618,3.06,2.09,8.03,1.20,1.48,1.39,1.08,3.04,2.49,2.15,1.90,0.79,1.05,2.78,3.15,3.07,1.72,2.38,2.51,2.64,0.89,0.93,0.78,0.83,1.90,0.85,0.86,0.79,0.80,0.76,0.78,0.78,,0.96,0.93,0.75,0.98,0.83,1.89,1.61,2.14,0.87,1.47,1.10,0.81
He II,4201.015,0.642,3.18,2.17,8.34,1.24,1.54,1.45,1.12,3.16,2.59,2.24,1.97,0.82,1.10,2.89,3.28,3.19,1.79,2.47,2.61,2.74,0.93,0.97,0.81,0.86,1.97,0.89,0.89,0.82,0.83,0.79,0.81,0.81,1.04,,0.97,0.78,1.02,0.86,1.96,1.67,2.22,0.91,1.53,1.14,0.84
He II,4339.891,0.663,3.28,2.24,8.61,1.28,1.59,1.49,1.16,3.27,2.67,2.31,2.03,0.85,1.13,2.99,3.38,3.30,1.85,2.55,2.70,2.83,0.96,1.00,0.84,0.89,2.03,0.91,0.92,0.85,0.86,0.81,0.84,0.84,1.07,1.03,,0.81,1.06,0.89,2.03,1.73,2.29,0.94,1.58,1.18,0.87
He II,4542.864,0.822,4.07,2.78,10.68,1.59,1.97,1.85,1.44,4.05,3.31,2.86,2.52,1.05,1.40,3.70,4.19,4.09,2.29,3.16,3.34,3.51,1.19,1.24,1.04,1.10,2.52,1.13,1.14,1.05,1.06,1.01,1.04,1.04,1.33,1.28,1.24,,1.31,1.10,2.51,2.14,2.84,1.16,1.96,1.46,1.08
He II,4860.677,0.628,3.11,2.12,8.16,1.22,1.51,1.41,1.10,3.09,2.53,2.19,1.93,0.81,1.07,2.83,3.20,3.12,1.75,2.42,2.55,2.68,0.91,0.94,0.79,0.84,1.93,0.87,0.87,0.80,0.81,0.77,0.80,0.79,1.02,0.98,0.95,0.76,,0.84,1.92,1.64,2.17,0.89,1.50,1.11,0.83
He II,5413.03,0.747,3.70,2.52,9.70,1.45,1.79,1.68,1.31,3.68,3.01,2.60,2.29,0.96,1.27,3.36,3.81,3.72,2.08,2.87,3.04,3.19,1.08,1.12,0.95,1.00,2.29,1.03,1.04,0.95,0.96,0.91,0.95,0.95,1.21,1.16,1.13,0.91,1.19,,2.28,1.95,2.58,1.06,1.78,1.32,0.98
Mg I,5168.761,0.327,1.62,1.10,4.25,0.63,0.78,0.74,0.57,1.61,1.32,1.14,1.00,0.42,0.56,1.47,1.67,1.63,0.91,1.26,1.33,1.40,0.47,0.49,0.41,0.44,1.00,0.45,0.45,0.42,0.42,0.40,0.41,0.41,0.53,0.51,0.49,0.40,0.52,0.44,,0.85,1.13,0.46,0.78,0.58,0.43
Mg I,5174.125,0.384,1.90,1.30,4.99,0.74,0.92,0.86,0.67,1.89,1.55,1.34,1.18,0.49,0.66,1.73,1.96,1.91,1.07,1.48,1.56,1.64,0.55,0.58,0.49,0.52,1.18,0.53,0.53,0.49,0.50,0.47,0.49,0.49,0.62,0.60,0.58,0.47,0.61,0.51,1.17,,1.33,0.54,0.92,0.68,0.50
Mg I,5185.048,0.289,1.43,0.98,3.75,0.56,0.69,0.65,0.51,1.42,1.17,1.01,0.89,0.37,0.49,1.30,1.47,1.44,0.81,1.11,1.17,1.24,0.42,0.43,0.37,0.39,0.89,0.40,0.40,0.37,0.37,0.35,0.37,0.37,0.47,0.45,0.44,0.35,0.46,0.39,0.88,0.75,,0.41,0.69,0.51,0.38
Mg II,4482.383,0.708,3.50,2.39,9.19,1.37,1.70,1.59,1.24,3.49,2.85,2.47,2.17,0.91,1.21,3.19,3.61,3.52,1.97,2.72,2.88,3.03,1.02,1.06,0.90,0.95,2.17,0.98,0.98,0.90,0.91,0.87,0.90,0.90,1.15,1.10,1.07,0.86,1.13,0.95,2.17,1.84,2.45,,1.69,1.26,0.93
O II,4416.138,0.419,2.07,1.42,5.44,0.81,1.00,0.94,0.73,2.06,1.69,1.46,1.29,0.54,0.72,1.89,2.14,2.08,1.17,1.61,1.70,1.79,0.60,0.63,0.53,0.56,1.29,0.58,0.58,0.54,0.54,0.51,0.53,0.53,0.68,0.65,0.63,0.51,0.67,0.56,1.28,1.09,1.45,0.59,,0.74,0.55
Si II,4129.218,0.564,2.79,1.91,7.32,1.09,1.35,1.27,0.99,2.78,2.27,1.97,1.73,0.72,0.96,2.54,2.88,2.81,1.57,2.17,2.29,2.41,0.81,0.85,0.71,0.76,1.73,0.78,0.78,0.72,0.73,0.69,0.71,0.71,0.91,0.88,0.85,0.69,0.90,0.76,1.72,1.47,1.95,0.80,1.35,,0.74
Si III,4553.898,0.761,3.77,2.57,9.88,1.47,1.82,1.71,1.33,3.75,3.07,2.65,2.33,0.98,1.30,3.43,3.88,3.79,2.12,2.93,3.09,3.25,1.10,1.14,0.96,1.02,2.33,1.05,1.06,0.97,0.98,0.93,0.96,0.96,1.23,1.19,1.15,0.93,1.21,1.02,2.33,1.98,2.63,1.07,1.82,1.35,
